date,ticker,close,daily_return
2026-03-16,AAPL,252.82000732421875,
2026-03-17,AAPL,254.22999572753906,0.005577044389181385
2026-03-18,AAPL,249.94000244140625,-0.016874457610149385
2026-03-19,AAPL,248.9600067138672,-0.0039209238936004365
2026-03-20,AAPL,247.99000549316406,-0.003896213024359163
2026-03-23,AAPL,251.49000549316406,0.01411347200480817
2026-03-24,AAPL,251.63999938964844,0.0005964209042432778
2026-03-25,AAPL,252.6199951171875,0.00389443542328749
2026-03-26,AAPL,252.88999938964844,0.0010688159198788405
2026-03-27,AAPL,248.8000030517578,-0.016173025219509918
2026-03-30,AAPL,246.6300048828125,-0.008721857485242457
2026-03-31,AAPL,253.7899932861328,0.029031294901536553
2026-04-01,AAPL,255.6300048828125,0.007250134541771258
2026-04-02,AAPL,255.9199981689453,0.0011344258521832629
2026-04-06,AAPL,258.8599853515625,0.011487914987700076
2026-04-07,AAPL,253.5,-0.020706117804507373
2026-04-08,AAPL,258.8999938964844,0.02130175107094434
2026-04-09,AAPL,260.489990234375,0.006141353323192211
2026-04-10,AAPL,260.4800109863281,-3.8309525974056235e-05
2026-04-13,AAPL,257.8500061035156,-0.010096762791331981
2026-03-16,AMD,196.5800018310547,
2026-03-17,AMD,196.30999755859375,-0.0013735083423845884
2026-03-18,AMD,199.4600067138672,0.01604609645177768
2026-03-19,AMD,205.27000427246094,0.029128634127283615
2026-03-20,AMD,201.3300018310547,-0.019194243481266637
2026-03-23,AMD,202.67999267578125,0.006705363495001615
2026-03-24,AMD,205.3699951171875,0.013272165673053449
2026-03-25,AMD,220.27000427246094,0.07255202565872021
2026-03-26,AMD,203.77000427246094,-0.07490806591890964
2026-03-27,AMD,201.99000549316406,-0.00873533268869564
2026-03-30,AMD,196.0399932861328,-0.02945696343986992
2026-03-31,AMD,203.42999267578125,0.03769638666974573
2026-04-01,AMD,210.2100067138672,0.03332848784442355
2026-04-02,AMD,217.5,0.034679573061694224
2026-04-06,AMD,220.17999267578125,0.012321805405890895
2026-04-07,AMD,221.52999877929688,0.006131375004192696
2026-04-08,AMD,231.82000732421875,0.046449729615055224
2026-04-09,AMD,236.63999938964844,0.020791958904084362
2026-04-10,AMD,245.0399932861328,0.03549693170279733
2026-04-13,AMD,245.5500030517578,0.002081332760360821
2026-03-16,AMZN,211.74000549316406,
2026-03-17,AMZN,215.1999969482422,0.016340754535353108
2026-03-18,AMZN,209.8699951171875,-0.024767666852414494
2026-03-19,AMZN,208.75999450683594,-0.005288991452693126
2026-03-20,AMZN,205.3699951171875,-0.01623874055782004
2026-03-23,AMZN,210.13999938964844,0.02322639327005427
2026-03-24,AMZN,207.24000549316406,-0.013800294588880768
2026-03-25,AMZN,211.7100067138672,0.021569200454641724
2026-03-26,AMZN,207.5399932861328,-0.019696817795534227
2026-03-27,AMZN,199.33999633789062,-0.039510442389467326
2026-03-30,AMZN,200.9499969482422,0.008076656164990315
